user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,parsed_date,only_date,only_time,datetime_for_sorting
Rosferatu - Candidate for Prime Minister,"Ontario, Canada",Candidate for Prime Minister of Canada | 🇨🇦 | GenX | Anti Fascist | Introvert | Liberal | Anti Hate | Rush fan |,2022-02-25 15:39:46,281.0,1378.0,24507.0,False,2022-04-24 21:31:12,"@TheLeftFamily Anyone who believes that Trudeau, or any member of Canadian parliament, is a tyrant/dictator/authoritarian does not have enough neural capacity to be classified as stupid.

#Trudeau #Canada #Liberal #NationalPride #CovidVaccine #PandemicResponse","['Trudeau', 'Canada', 'Liberal', 'NationalPride', 'CovidVaccine', 'PandemicResponse']",Twitter for iPad,False,2022-04-24 21:31:12,2022-04-24,21:31:12,2022-04-24 21:31:12
Rosferatu - Candidate for Prime Minister,"Ontario, Canada",Candidate for Prime Minister of Canada | 🇨🇦 | GenX | Anti Fascist | Introvert | Liberal | Anti Hate | Rush fan |,2022-02-25 15:39:46,281.0,1378.0,24507.0,False,2022-04-24 21:31:26,"@LucieCatnip Anyone who believes that Trudeau, or any member of Canadian parliament, is a tyrant/dictator/authoritarian does not have enough neural capacity to be classified as stupid.

#Trudeau #Canada #Liberal #NationalPride #CovidVaccine #PandemicResponse","['Trudeau', 'Canada', 'Liberal', 'NationalPride', 'CovidVaccine', 'PandemicResponse']",Twitter for iPad,False,2022-04-24 21:31:26,2022-04-24,21:31:26,2022-04-24 21:31:26
Rosferatu - Candidate for Prime Minister,"Ontario, Canada",Candidate for Prime Minister of Canada | 🇨🇦 | GenX | Anti Fascist | Introvert | Liberal | Anti Hate | Rush fan |,2022-02-25 15:39:46,281.0,1378.0,24507.0,False,2022-04-24 21:31:54,"@peel1965 Anyone who believes that Trudeau, or any member of Canadian parliament, is a tyrant/dictator/authoritarian does not have enough neural capacity to be classified as stupid.

#Trudeau #Canada #Liberal #NationalPride #CovidVaccine #PandemicResponse","['Trudeau', 'Canada', 'Liberal', 'NationalPride', 'CovidVaccine', 'PandemicResponse']",Twitter for iPad,False,2022-04-24 21:31:54,2022-04-24,21:31:54,2022-04-24 21:31:54
Rosferatu - Candidate for Prime Minister,"Ontario, Canada",Candidate for Prime Minister of Canada | 🇨🇦 | GenX | Anti Fascist | Introvert | Liberal | Anti Hate | Rush fan |,2022-02-25 15:39:46,281.0,1378.0,24507.0,False,2022-04-24 21:32:13,"@deltadude3266 Anyone who believes that Trudeau, or any member of Canadian parliament, is a tyrant/dictator/authoritarian does not have enough neural capacity to be classified as stupid.

#Trudeau #Canada #Liberal #NationalPride #CovidVaccine #PandemicResponse","['Trudeau', 'Canada', 'Liberal', 'NationalPride', 'CovidVaccine', 'PandemicResponse']",Twitter for iPad,False,2022-04-24 21:32:13,2022-04-24,21:32:13,2022-04-24 21:32:13
Rosferatu - Candidate for Prime Minister,"Ontario, Canada",Candidate for Prime Minister of Canada | 🇨🇦 | GenX | Anti Fascist | Introvert | Liberal | Anti Hate | Rush fan |,2022-02-25 15:39:46,281.0,1378.0,24507.0,False,2022-04-24 21:32:41,"@Cristophaerus Anyone who believes that Trudeau, or any member of Canadian parliament, is a tyrant/dictator/authoritarian does not have enough neural capacity to be classified as stupid.

#Trudeau #Canada #Liberal #NationalPride #CovidVaccine #PandemicResponse","['Trudeau', 'Canada', 'Liberal', 'NationalPride', 'CovidVaccine', 'PandemicResponse']",Twitter for iPad,False,2022-04-24 21:32:41,2022-04-24,21:32:41,2022-04-24 21:32:41
Rosferatu - Candidate for Prime Minister,"Ontario, Canada",Candidate for Prime Minister of Canada | 🇨🇦 | GenX | Anti Fascist | Introvert | Liberal | Anti Hate | Rush fan |,2022-02-25 15:39:46,281.0,1378.0,24507.0,False,2022-04-24 21:33:00,"@Batdad85 Anyone who believes that Trudeau, or any member of Canadian parliament, is a tyrant/dictator/authoritarian does not have enough neural capacity to be classified as stupid.

#Trudeau #Canada #Liberal #NationalPride #CovidVaccine #PandemicResponse","['Trudeau', 'Canada', 'Liberal', 'NationalPride', 'CovidVaccine', 'PandemicResponse']",Twitter for iPad,False,2022-04-24 21:33:00,2022-04-24,21:33:00,2022-04-24 21:33:00
Rosferatu - Candidate for Prime Minister,"Ontario, Canada",Candidate for Prime Minister of Canada | 🇨🇦 | GenX | Anti Fascist | Introvert | Liberal | Anti Hate | Rush fan |,2022-02-25 15:39:46,281.0,1378.0,24507.0,False,2022-04-24 21:33:20,"@sancili1 Anyone who believes that Trudeau, or any member of Canadian parliament, is a tyrant/dictator/authoritarian does not have enough neural capacity to be classified as stupid.

#Trudeau #Canada #Liberal #NationalPride #CovidVaccine #PandemicResponse","['Trudeau', 'Canada', 'Liberal', 'NationalPride', 'CovidVaccine', 'PandemicResponse']",Twitter for iPad,False,2022-04-24 21:33:20,2022-04-24,21:33:20,2022-04-24 21:33:20
Rosferatu - Candidate for Prime Minister,"Ontario, Canada",Candidate for Prime Minister of Canada | 🇨🇦 | GenX | Anti Fascist | Introvert | Liberal | Anti Hate | Rush fan |,2022-02-25 15:39:46,281.0,1378.0,24507.0,False,2022-04-24 21:34:15,"@thinkerdunord Anyone who believes that Trudeau, or any member of Canadian parliament, is a tyrant/dictator/authoritarian does not have enough neural capacity to be classified as stupid.

#Trudeau #Canada #Liberal #NationalPride #CovidVaccine #PandemicResponse","['Trudeau', 'Canada', 'Liberal', 'NationalPride', 'CovidVaccine', 'PandemicResponse']",Twitter for iPad,False,2022-04-24 21:34:15,2022-04-24,21:34:15,2022-04-24 21:34:15
Rosferatu - Candidate for Prime Minister,"Ontario, Canada",Candidate for Prime Minister of Canada | 🇨🇦 | GenX | Anti Fascist | Introvert | Liberal | Anti Hate | Rush fan |,2022-02-25 15:39:46,281.0,1378.0,24507.0,False,2022-04-24 21:34:38,"@NotJayNelson Anyone who believes that Trudeau, or any member of Canadian parliament, is a tyrant/dictator/authoritarian does not have enough neural capacity to be classified as stupid.

#Trudeau #Canada #Liberal #NationalPride #CovidVaccine #PandemicResponse","['Trudeau', 'Canada', 'Liberal', 'NationalPride', 'CovidVaccine', 'PandemicResponse']",Twitter for iPad,False,2022-04-24 21:34:38,2022-04-24,21:34:38,2022-04-24 21:34:38
Rosferatu - Candidate for Prime Minister,"Ontario, Canada",Candidate for Prime Minister of Canada | 🇨🇦 | GenX | Anti Fascist | Introvert | Liberal | Anti Hate | Rush fan |,2022-02-25 15:39:46,281.0,1378.0,24507.0,False,2022-04-24 21:34:52,"@TmsGrant Anyone who believes that Trudeau, or any member of Canadian parliament, is a tyrant/dictator/authoritarian does not have enough neural capacity to be classified as stupid.

#Trudeau #Canada #Liberal #NationalPride #CovidVaccine #PandemicResponse","['Trudeau', 'Canada', 'Liberal', 'NationalPride', 'CovidVaccine', 'PandemicResponse']",Twitter for iPad,False,2022-04-24 21:34:52,2022-04-24,21:34:52,2022-04-24 21:34:52
